ACHAIYERAI | 10 (body); 15hp (per each leg) | 8 [12] or -1 [21] (see below) | 1 bite (1d10 piercing) and 2 claws (1d8 | 90 | Huge | 1d6 | 1,400 +14/hp | Average (8-10) | Chaotic evil | 180ft
BOAR, WARTHOG | 3 | 7 [13] | 2 (2d4/2d4) | 60 | Small | 1d6 | 50 +2/hp | Animal (1) | Neutral | 120ft
BROWNIE | 1d4 hp | 3 [17] | 1 (1d3) | 50 | Small | 4d4 | 50 +1/hp | High (13-14) | Lawful good | 120ft
BUGBEAR | 3+1 | 5 [15] | 1 (2d4 or by weapon) | 65 | Large (7ft) | 6d6 (9d6 in lair) | 135 +4/hp | Low to average (5-10) | Chaotic evil | 90ft
BULETTE | 9 | -2 [22] (see below) | 3 (3d6/3d6/4d12) | N/A (fights to the death) | Large | 1d2 | 2,000 +12/hp | Animal (1) | Neutral | 140ft; 30ft burrowing
CAMEL | 3 | 7 [13] | 1 (1d4) | 60 | Large | 1d12 | 50 +2/hp | Animal (1) | Neutral | 210ft dromedary / 180ft bactrian
CARBUNCLE | 1 | 2 [18] | None | 50 | Small | 1 | 5 +1/hp | Average (8-10) | Chaotic neutral | 30ft
CARCASS CREEPER | 3+1 | 3 [17] or 7 [13] (see below) | 8 (paralysis) | N/A (fights to the death) | Large | 1d6 | 105 +3/hp | Non- (0) | Neutral | 120ft
CARYATID COLUMN | 5 | 5 [15] | 1 (2d4) | N/A (fights to the death) | Medium | 1d12 | 110 +3/hp | Non- (0) | Neutral | 60ft
DOMESTIC WILD | 1d2 hp 1d6 hp | 6 [14] 5 [15] | 1 (1d2-1) 3 (1/1/1d2) | 50 50 | Small Small | 1 or 2d6 1 or 1d4+1 | 3 +1/hp 10 +1/hp | Animal (1) Animal (1) | Neutral Neutral | 50ft 180ft
CATERWAUL | 4+2 | 6 [14] (see below) | 2 claws (1d4) and 1 bite (1d6) | 70 | Medium | 1 | 400 +5/hp | Low (5-7) | Chaotic evil | 180ft or 240ft
BISON (BUFFALO) BULL CATTLE | 5 4 3 | 3 [17] or 7 [13] 7 [13] 7 [13] | 2 horns (1d8 piercing) 2 horns (1d6 piercing) 1 head butt (1d6 blunt) | 70 65 60 | Large Large Large | 4d6 1, plus 50% chance of 3d6 cattle 20d10 | 110 +4/hp 75 +3/hp 50 +2/hp | Animal (1) Animal (1) Animal (1) | Neutral Neutral Neutral | 150ft 150ft 150ft
CENTAUR | 4 | 5 [15] or 4 [16] | 2 hooves (1d6) and weapon | 65 | Large | 4d6 | 75 +3/hp | Average (8-10) | Neutral good or Chaotic good | 180ft
BIG BIGGER BIGGEST | 1 hp 1 to 2 hp 3 | 9 [11] 9 [11] 5 [15] | 1 bite (poison only) 1 bite (poison only) 1 bite (1d3 piercing + poison) | N/A N/A N/A | Small Small Medium | 5d6 2d12 1d4 | 31 +1/hp 30 +1/hp 125 +3/hp | Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral | 210ft 150ft 180ft
CHIMERA GORGIMERA | 9 10+1 | 4 [16] 3 [17] | 2 lion claws (1d4), 2 goat horns (1d3), 1 lion bite | 90 95 | Large Large | 1d4 1 | 1,300 +12/hp 2,250 +14/hp | Semi- (2-4) Semi- (2-4) | Chaotic evil Chaotic evil | 90ft; 180ft flying (AA:II) 120ft; 150ft flying (AA:II)
COCKATRICE | 5 [15] | 6 [14] | 1 bite (1d3 + petrifaction) | 70 | Small | 1d6 | 170 +4/hp | Animal (1) | Neutral | 60ft; 180ft flying (AA:IV)
COFFER CORPSE | 2 | 8 [12] | 1 claw (1d6 + strangle) or by weapon | N/A (fights to the death) | Medium | 1 | 30 +2/hp | Low (5-7) | Chaotic evil | 60ft
COUATL | 9 | 5 [15] | 1 bite (1d3+ poison) and 1 constrict | 90 | Medium | 1d4 | 2,000 +12/hp | Genius (17-18) | Lawful good | 60ft; 180ft flying (AA:VI)
CRABMAN | 3 | 4 [16] | 2 pincers (1d4) | 60 | Large (9ft) | 2d6 | 40 +2/hp | Low to average (5-10) | Neutral | 90ft; 60ft swimming
GIANT CRAB GIANT CRAYFISH | 3 4+4 | 3 [17] 4 [16] | 2 pincers (2d4 | N/A N/A | Large Large |  | 75 +3/hp 110 +4/hp | Non- (0) Non- (0) | Neutral Neutral | 90ft 60ft; 120ft
CRYPT THING | 6 | 3 [17] | 1 clawed hand (1d8 slashing) | 75 | Medium | 1 | 160 +4/hp | Very | Neutral | 120ft
CYCLOPS | 13 | 2 [18] | 1 club (6d6) | 110 | Large (20ft) | 1d2 | 3,300 +17/hp | Low (5-7) | Chaotic evil | 150ft
DAKON | 1+1 | 5 [15] | 2 claws (1d10 slashing) | 55 | Medium | 6d10 | 25 +2/hp | Average (8-10) | Lawful neutral | 60ft
DARK CREEPER | 1+1 | 0 [20] (or 8 [12]; see below | 1 dagger (1d4) | 55 | Small (4ft) | 1 (or 20d4) | 50 +2/hp | Average (8-10) | Chaotic neutral | 90ft
DARK STALKER | 2+1 | 0 [20] (or 8 [12]; see below | 1 short sword (1d6) | 60 | Medium | 1 (see below) | 200 +3/hp | Average (8-10) | Chaotic neutral | 90ft
CLASS A DEMON (VROCK) | 8 | 0 [20] | 2 talons (1d4), 2 claws (1d8) | 85 | Large (9ft) | 1d3 or 1d6 (in the Abyss) | 1,275 +10/hp | Low (5-7) | Chaotic evil | 120ft; 180ft flying (AA:IV)
CLASS B DEMON (HEZROU) | 9 | -2 [22] | 2 claws (1d3) and 1 bite (4d4) | 90 | Large (8ft) | 1d3 or 1d6 (in the Abyss) | 2,000 +12/hp | Low (5-7) | Chaotic evil | 60ft; 120ft hopping
CLASS C DEMON (GLABREZU) | 10 | -4 [24] | 2 pincers (2d6 piercing), 2 claws (1d3 | 95 | Large (10ft) | 1d3 or 1d6 (in the Abyss) | 2,400 +14/hp | Average (8-10) | Chaotic evil | 90ft
CLASS D DEMON (NALFESHNEE AND OTHERS) | 11 | -1 [21] | 1 claw (1d4) and 1 bite (2d4) | 100 | Large (11ft) | 1d3 or 1d6 (in the Abyss) | 3,000 +16/hp | Very (11-12) | Chaotic evil | 90ft; 120ft flying (AA:II)
CLASS E DEMON (MARILITH AND OTHERS) | 7+7 | -7 [27] | 6 arms (2d4) and 1 constriction (1d6) | 90 | Large | 1d3 or 1d6 (in the Abyss) | 3,000 +12/hp | High (13-14) | Chaotic evil | 120ft
CLASS F DEMON (BALOR AND OTHERS) | 8+8 | -2 [22] | 1 weapon/sword (+1) (1d12) or 1 whip | 95 | Large (12ft) | 1d3 or 1d6 (in the Abyss) | 3,600 +12/hp | High (13-14) | Chaotic evil | 60ft; 150ft flying (AA:III)
ALUU-DEMON (HALF-DEMON) | 6+1d6  hit points | 5 [15] | 1 weapon (weapon + strength bonus) | 75 | Medium | 1 | 4,050 +14/hp | Very (11-12) to genius (17-18) | Chaotic evil (See below) | 120ft; 120ft flying (AA:IV)
BABAU | 7+14 | -3 [23] | 2 claws (1d4+1) and 1 bite (2d4) or 1 | 95 | Medium (7ft) | 1d3 or 1d6 (in the Abyss) | 2,000 +12/hp | Very | Chaotic evil | 150ft
MINOR NOBLE | 5 to 8 (1d4+4) 9 to 16 (1d8+8) | 6 [14] (base) 2 [18] (base) | 2 (By weapon type) 2 (By weapon type) | 70 to 85 90 to 125 | Medium (6-7ft) Medium (7-8ft) |  | 1,275 +10/hp 4,410 +15/hp | Average to | Chaotic evil Chaotic evil | 150ft 150ft
DRETCH | 4 | 2 [18] | 2 claws (1d4) and 1 bite(1d4+1) | 65 | Small | 2d4 or 5d4 (in the Abyss) | 175 +4/hp | Low (5-7) | Chaotic evil | 90ft
EKIVU (FLY DEMON) (KHASME) | 7+2 | -1 [21] | 2 claws (2d4) and 1 bite (1d4) | 85 | Medium | 1d3 or 1d6 (in the Abyss) | 1,275 +10/hp | Average (8-10) | Chaotic evil | 50ft; 210ft flying (AA:III)
MANIS | 1 | 7 [13] | 2 claws (1d2 slashing) and 1 bite (1d4 | 50% | Small | 4d4 | 18 +1/hp | Semi- (2-4) | Chaotic Evil | 30ft
QUASIT | 3 | 2 [18] | 2 claws (1d2) and 1 bite (1d4) | 60 | Tiny | 1 | 325 +3/hp | Low (5-7) | Chaotic evil | 150ft
SHUB (RUTTERKITH) | 5+1 | 1 [19] | 2 claws (1d6+1) or 1 weapon | 70 | Medium | 1d4 or 3d4 (in the Abyss) | 425 +6/hp | Average (8-10) | Chaotic evil | 120ft
SUCCUBUS/INCUBUS | 6 | 0 [20] | 2 claws (1d3) | 75 | Medium | 1 | 2,100 +6/hp | Exceptional (15-16) | Chaotic evil | 120ft; 180ft flying (AA:IV)
UDUK (BAR-IGURA) | 6+6 | -3 [23] | 2 claws (1d6) and 1 bite (2d6) | 80 | Medium | 1d3 or 1d6 (in the Abyss) | 1,725 +10/hp | Very (11-12) | Chaotic evil | 90ft; 150ft in trees
ASSAGIM (NIPHERIBU, NUPERIBBO) | 1 | 9 [11] | 2 claws (1d2) or 1 weapon | 50 | Medium | 10d10 | 18 +1/hp | Semi- (2-4) | Lawful evil | 60ft
BARBED DEVIL | 8 | 0 [20] | 2 claws (2d4) and 1 tail (3d4) | 85 | Medium | 1d2 or 3d4 | 1,425 +10/hp | Very (11-12) | Lawful evil | 120ft
BEARDED DEVIL | 6+6 | 1 [19] | 1 glaive (1d3 + entangle) or 2 claws | 80 | Medium (7ft) | 1d2 or 1d6+4 | 1,125 +10/hp | Average (8-10) | Lawful evil | 150ft
BONE DEVIL | 9 | -1 [21] | 1 bone hook (3d4) | 90 | Large (9ft) | 1d2 or 2d4 | 1,000 +10/hp | Average (8-10) | Lawful evil | 150ft
ERINYES | 6+6 | 2 [18] | 1 dagger (2d4+poison) | 80 | Medium (6ft) | 1d3 or 4d4 | 875 +8/hp | Average (8-10) | Lawful evil | 60ft; 210ft flying (AA:IV)
HELLCAT (DEVILCAT) | 7+2 | 6 [14] | 2 claws (1d4+1) and 1 bite (2d6) | 85 | Large | 1 | 1,000 +10/hp | Average (8-10) | Lawful evil | 120ft
HORNED DEVIL | 5+5 | -5 [25] | 2 claws (1d4) and 1 bite (1d4+1) and 1 | 75 | Large (9ft) | 1d2 or 1d4+1 | 1,320 +6/hp | High (13-14) | Lawful evil | 90ft; 180ft flying (AA:III)
ICE DEVIL (GREATER DEVIL) | 11 | -4 [24] |  | 100 | Large (11ft) | 1 or 1d4 | 4,400 +16/hp | High (13-14) | Lawful evil | 60ft
IMP (LESSER DEVIL) | 2+2 | 2 [18] | Tail (1d4 + poison) | 60 | Tiny | 1 | 275 +3/hp | Average (8-10) | Lawful evil | 60ft; 180ft flying (AA:V)
LEMURE (LEAST DEVIL) | 3 | 7 [13] | 1 pseudopod (1d3) | 60 | Medium | 5d6 | 65 +3/hp | Semi- (2-4) | Lawful evil | 30ft
BLACK BLUE GREEN RED WHITE | 8 5+1 6 4+2 7 | 2 [18] 3 [17] 3 [17] 1 [19] 3 [17] | Halberd (1d10+4) |  | Large (8ft) Medium (5ft) Medium (6ft) Small (4ft) Medium (7ft) |  |  |  | : Lawful evil Lawful evil Lawful evil Lawful evil Lawful evil | 90ft, 120ft flying
PIT FIEND (GREATER DEVIL) | 13 | –3 [23] | 1 scimitar (1d8+6) and 1 spiked club | 110 | Large (12ft) | 1 or 1d3 | 7,900 +18/hp | Exceptional (15-16) | Lawful evil | 60ft; 150ft flying (AA:III)
SAURUS | 15 12 9 8 10 4 | 7 [13] 6 [14] 7 [13] 7 [13] 6 [14] 9 [11] | 1 (2d8) 1 (1d12) 1 (1d6) 1 (1d8) 1 (1d10) 1 (1d6) | N/A N/A N/A N/A N/A N/A | Large Large Large Large Large Large |  | 2,000 +16/hp 1,200 +16/hp 750 +10/hp 500 +10/hp 1,500 +14/hp 75 +4/hp | Non- (0) Non- (0) Non- (0) Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral Neutral Neutral Neutral | 150ft 150ft 150ft 150ft 150ft 150ft
DISENCHANTER | 5 | 5 [15] | 1 (special) | 70 | Medium (5ft at shoulder) | 1d2 | 225 +5/hp | Average (8-10) | Neutral | 120ft
DJINNI NOBLE DJINNI | 7+3 10 | 4 [16] 4 [16] | 1 slap (2d8) 1 slap (3d8) | 85 95 | Large (8ft) Large (8ft) |  | 650 +10/hp 1200 +13/hp | Average (8-10) to | Chaotic good Chaotic good | 90ft; 240ft flying
DOG | 2+2 1 | 6 [14] (or by | 1 bite (2d4) 1 bite (1d4) | N/A 50 | Medium Small |  | 50 +2/hp 10 +1/hp | Semi- (2-4) Semi- (2-4) | Neutral Neutral | 120ft 150ft
DRACOLISK | 7+3 | 3 [17] | 3 (1d6/1d6/3d4) | 85 | Huge | 1d2 | 1,000 +10/hp | Low to average (5-10) | Chaotic evil | 90ft; 150ft flying (AA:II)
DRAGON, BLACK | 6 to 8 | 3 [17] | 2 claws (1d4) and 1 bite (3d6) | 75, 80, or 85 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Average (8-10) | Chaotic evil | 120ft; 240ft flying (AA:II)
DRAGON, BLUE | 8 to 10 | 2 [18] | 2 claws (1d6) and 1 bite (3d8) | 85, 90, or 95 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Very (11-12) | Lawful evil | 90ft; 240ft flying (AA:II)
DRAGON, BRASS | 6 to 8 | 3 [17] | 2 claws (1d4) and 1 bite (4d4) | 75, 80, or 85 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | High (13-14) | Chaotic good or Chaotic neutral | 120ft; 240ft flying (AA:II)
DRAGON, BRONZE | 8 to 10 | 2 [18] | 3 (1d6/1d6/4d6) | 85, 90, or 95 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Exceptional (15-16) | Lawful good | 90ft; 240ft flying (AA:II)
DRAGON, COPPER | 7 to 9 | 1 [19] | 2 claws (1d4) and 1 bite (3d6+2) | 80, 85, or 90 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | High (13-14) | Chaotic good | 90ft; 240ft flying (AA:II)
DRAGON, GOLD | 10 to 12 | -2 [22] | 2 claws (1d8) and 1 bite (6d6) | 95, 100 or 105 (by HD) | Varies by age | 1d3 | Varies by hit dice and age | Genius (17-18) | Lawful good | 120ft; 300ft flying (AA:II)
DRAGON, GREEN | 7 to 9 | 2 [18] | 2 claws (1d6) and 1 bite (2d10) | 80, 85, or 90 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Average (8-10) to very (11-12) | Lawful evil | 90ft; 240ft flying (AA:II)
DRAGON, RED | 9 to 11 | -1 [21] | 3 (1d8/1d8/3d10) | 90, 95, or 100 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Exceptional (15-16) | Chaotic evil | 90ft; 240ft flying (AA:II)
DRAGON, SILVER | 9 to 11 | -1 [21] | 3 (1d6/1d6/5d6) | 90, 95, or 100 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Exceptional (15-16) | Lawful good | 90ft; 240ft flying (AA:II)
DRAGON, WHITE | 5 to 7 | 3 [17] | 2 claws (1d4) and 1 bite (2d8) | 70, 75, or 80 (by HD) | Varies by age | 1d4 | Varies by hit dice and age | Low (5-7) | Chaotic evil | 120ft; 300ft flying (AA:II)
DRAGON TURTLE | 12 to 15 | 0 [20] | 2 claws (2d6) and 1 bite (4d8) | Depends on HD | Huge | 1 |  | Very (11-12) | Neutral | 30ft; 90ft swimming
DRYAD | 2 | 10 [10] | 1 (1d2) | 55 | Medium | 1d6 | 100 +3/hp. | High (13-14) | Neutral | 120ft
DWARF | 1 | 4 [16] | By weapon | 50 | Small (4ft) | 4d100 | 30 +1/hp | Very (11-12) | Lawful good | 60ft
EEL WEED EEL | 5 2 1d6 hp | 6 [14] 9 [11] 8 [12] | 3d6 1d4 1 + poison | N/A N/A N/A | Large Medium Small |  | 110 +4/hp 40 +2/hp 30 +1/hp | Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral | 90ft swimming 120ft
EFREET | 10 | 2 [18] | 1 fist (1d8 blunt plus 2d8 fire) | 95 | Large | 1 | 7,000 +12/hp | Very (11-12) | Lawful evil | 90ft; 240ft flying
AIR EARTH FIRE WATER | 8, 12, or 16 8, 12, or 16 8, 12, or 16 8, 12, or 16 | 2 [18] 2 [18] 2 [18] 2 [18] | 1 strike (2d10) 1 strike (4d8 or 4d6; see | N/A N/A N/A N/A | Large Large Large Large | 1 1 1 1 |  | Low (5-7) Low (5-7) Low (5-7) Low (5-7) | Neutral Neutral Neutral Neutral | 360ft flying (AA:VI) 60ft 120ft 60ft; 180ft swimming
AFRICAN ASIAN MAMMOTH MASTODON | 11 10 13 12 | 6 [14] 5 [15] 6 [14] 6 [14] |  | 100 95 110 105 | Huge Huge Huge Huge | 1d12 1d12 1d12 1d12 | 1,400 +14/hp 1,100 +13/hp 2,300 +17/hp 1,900 +16/hp | Animal (1) Animal (1) Animal (1) Animal (1) | Neutral Neutral Neutral Neutral | 150ft 150ft 150ft 150ft
ELF | 1+1 | 5 [15] | By weapon | 50 | Medium | 20d10 | 30 +1/hp | High (13-14) | Chaotic good | 120ft
ETTERCAP | 5+1 | 6 | 3 (1d4/1d4/1d8) | 70 | Medium | 1d2 | 150 +5/hp | Semi- (2-4) | Neutral evil | 120ft
ETTIN | 10 | 3 [17] | 1 club (2d8) and 1 other club (3d6) | 95 | Large (13ft) | 1d4 | 1,370 +14/hp | Low (5-7) | Chaotic evil | 120ft
EXECUTIONER’S HOOD | 3 to 6 hit dice | 6 [14] | 1 (1d4) | N/A | Small | 1 | 250 +4/hp | Semi- (2-4) | Neutral evil | 60ft
EYE OF THE DEEP | 11 | 5 | 2 pincers (2d4) and bite (1d6) | 100 | Large | 1 | 3,000 +16/hp | Very (11-12) | Lawful evil | 60ft swimming
GIANT GAR GIANT PIKE LEVIATHAN | 8 4 24 | 3 [17] 5 [15] 6 [14] | 1 bite (2d10) 1 bite (3d6) 1 bite (5d4) | N/A N/A N/A | Large Large Huge | 1d6 1d8 1 | 575 +4/hp 90 +10/hp 5,000 +24/hp | Non- (0) Non- (0) Non- (0) | Neutral Neutral Neutral | 300ft
HORSEFLY | 3 6 | 6 [14] 5 [15] | 1d8+1 2d6 | N/A N/A | Medium Large |  | 40 +3/hp 165 +6/hp | Non- (0) Non- (0) | Neutral Neutral | 90ft; 300ft flying
FROG, GIANT | 1 to 3 | 7 [13] | 1 (1d3, 1d6 or 2d4) | N/A | Small to Medium | 5d8 |  | Non- (0) | Neutral | 30ft; 90ft swimming
FUNGI, VIOLET | 3 | 7 [13] | 1d4 branches (special) | N/A | Small to Medium | 1d4 | 110 +2/hp | Non- (0) | Neutral | 10ft
GARGOYLE | 4+4 | 5 [15] | 2 claws (1d3), 1 horn (1d4) | 70 | Medium | 2d8 | 155 +4/hp | Low (5-7) | Chaotic evil | 90ft; 150ft flying (AA:IV)
GELATINOUS CUBE | 4 | 8 [12] | 1 (2d4) | N/A | Large | 1 | 150 +4/hp | Non- (0) | Neutral | 60ft
GHAST | 4 | 4 [16] | 2 claws (1d4) and 1 bite (1d8) | 65 | Medium | 1d6 | 195 +4/hp | Very (11-12) | Chaotic evil | 150ft
GHOST | 10+4 | 0 [20] when manifest/special | 1 (Wither) | 100 | Medium | 1 | 4,200 +14/hp | High (13-14) | Any evil | 90ft floating
GHOUL | 2 | 6 [14] | 1d3/1d3/1d6 | 55 | Medium | 4d6 | 70 +2/hp | Low (5-7) | Chaotic evil | 90ft
GIANT, CLOUD | 12 (+1d6 hp) | 2 [18] | 1 weapon (6d6) | 110 | Large (18ft tall) | 1d6 | 3,520 +16/hp | Average (8-10) up to very (11-12) | Neutral good (50%) or Neutral evil | 150ft
GIANT, FIRE | 11 (+1d4 hp) | 3 [17] | 1 weapon (5d6) | 105 | Large (12ft) | 1d8 | 2,720 +16/hp | Low up to average (5-10) | Lawful evil | 120ft
GIANT, FROST | 10 (+1d4 hp) | 4 [16] | 1 weapon (4d6) | 100 | Large (15ft) | 1d8 | 1,820 +14/hp | Low up to average (5-10) | Chaotic evil | 120ft
GIANT, HILL | 8+1d2 | 4 [16] | 1 (2d8) | 85 | Large (10.5ft) | 1d10 | 1,200 +12/hp | Low (5-7) | Chaotic evil | 120ft
GIANT, STONE | 9+1d4 | 0 [20] | 1 (3d6) | 90 | Large (12ft) | 1d8 | 1,500 +14/hp | Average (8-10) | Neutral | 120ft
GIANT, STORM | 15 (+1d6  hit points) | 1 [19] | 1 (7d6) | 125 | Huge (21ft) | 1d4 | 6,000 +20/hp | Exceptional (15-16) | Chaotic good | 150ft
FLIND | 2+3 | 5 [15] | 2d4 or by weapon | 55 | Medium (6.5ft) | 2d12 | 40 +4/hp | Average (8-10) | Chaotic evil | 120ft
GNOLL | 2 | 5 [15] | 2d4 or by weapon | 55 | Large (7ft) | 20d10 | 30 +2/hp | Low to average (5-10) | Chaotic evil | 90ft
